51854,COMPUTAÇÃO PARALELA - A (Virtual),default
51855,COMPUTAÇÃO PARALELA - B,default
50558,ANATOMIA VETERINÁRIA I,default
44920,CITOLOGIA E HISTOLOGIA GERAL,default
44922,INTRODUÇÃO À MEDICINA VETERINÁRIA,default
44921,METODOLOGIA DO TRABALHO CIENTÍFICO I,default
50559,ANATOMIA VETERINÁRIA II,default
38651,FISIOLOGIA VETERINÁRIA I,default
38698,GENÉTICA ANIMAL,default
44924,HISTOLOGIA VETERINÁRIA,default
38696,MÉTODOS DE ANÁLISE ESTATÍSTICA,default
44923,BIOQUÍMICA VETERINÁRIA,default
44925,EMBRIOLOGIA VETERINÁRIA,default
38707,EPIDEMIOLOGIA,default
39758,LEITURA E PRODUÇÃO DE TEXTOS,default
39762,METODOLOGIA CIENTÍFICA E TECNOLÓGICA,default
46512,MATERIAIS DE CONSTRUÇÃO CIVIL I,default
46513,MATERIAIS DE CONSTRUÇÃO CIVIL II,default
47828,LÍNGUA INGLESA: LEITURA E ESCRITA,default
40563,COMPUTADORES E SOCIEDADE,default
48308,CALCULO III,default
45650,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,default
39751,LABORATÓRIO DE ALGORITMOS E ESTRUTURA DE DADOS I,default
43776,MATEMÁTICA DISCRETA I,default
45684,FUNDAMENTOS DE ADMINISTRAÇÃO,default
44557,INTRODUÇÃO À COMPUTAÇÃO,default
45378,MATEMÁTICA DISCRETA,default
44555,ALGORITMOS E TÉCNICAS DE PROGRAMAÇÃO,default
48153,LABORATÓRIO DE ALGORITMOS E TÉCNICAS DE PROGRAMAÇÃO,default
48156,ARQUITETURA DE COMPUTADORES,default
50490,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,default
48155,LABORATÓRIO DE PROGRAMAÇÃO ORIENTADA POR OBJETOS,default
48154,PROGRAMAÇÃO ORIENTADA POR OBJETOS,default
46075,LABORATÓRIO DE PROGRAMAÇÃO APLICADA À ENGENHARIA CIVIL,default
48356,FÍSICA GERAL I (Virtual),default
43583,CÁLCULO DIFERENCIAL E INTEGRAL I,default
48313,LABORATÓRIO DE FÍSICA GERAL II,default
43829,MATEMÁTICA FINANCEIRA,default
38869,PSICOLOGIA DA APRENDIZAGEM,default
38269,SOCIOLOGIA,default
43611,ESTATÍSTICA E PROBABILIDADE,default
45063,QUÍMICA GERAL,default
49304,ALGORITMOS PARA ENGENHARIA I,default
49306,DESENHO MECÂNICO,default
49266,ADMINISTRAÇÃO GERAL,default
49265,CONTABILIDADE GERAL,default
49267,INSTITUIÇÕES DE DIREITO,default
49268,METODOLOGIA APLICADA A ÁREA GERENCIAL,default
47312,MICROECONOMIA,default
49528,DIREITO EMPRESARIAL,default
47112,ESTATÍSTICA BÁSICA,default
49527,ESTRUTURA CONCEITUAL CONTÁBIL,default
45649,ALGORITMOS E ESTRUTURAS DE DADOS I,default
45353,CÁLCULO I,default
45355,CÁLCULO II,default
39869,LABORATÓRIO DE ALGORITMOS E ESTRUTURAS DE DADOS II,default
44322,MATEMÁTICA DISCRETA II,default
44323,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,default
45358,CÁLCULO III,default
45651,ALGORITMOS E ESTRUTURAS DE DADOS II,default
44716,QUÍMICA EXPERIMENTAL,default
47235,ANTROPOLOGIA,default
